20,130,135.00
30,120,93.93
40,110,65.12
50,100,44.76
60,90,27.22
70,80,9.29
80,70,-7.03
90,60,-23.79
100,50,-43.20
110,40,-63.28
120,30,-91.59
130,20,-129.00
