100.5,0
 93.3,0.13
 92.2,0.23
 90.9,0.36
 89.5,0.55
 88.2,0.72
 87.9,0.82
 87.1,0.95
 86.2,1.12
 85.2,1.28
 84.6,1.37
 84.0,1.49
